name,category,mechanic,force,level,equipment,direct_muscles,indirect_muscles
Hug A Ball,stretching,isolation,static,beginner,exercise ball,lower back,calves; glutes
Hug Knees To Chest,stretching,,static,beginner,,lower back,glutes
Hurdle Hops,plyometrics,compound,push,beginner,other,hamstrings,abductors; adductors; calves; glutes; hamstrings
Hyperextensions (Back Extensions),strength,isolation,pull,beginner,other,lower back,glutes; hamstrings
Hyperextensions With No Hyperextension Bench,strength,compound,pull,intermediate,body only,lower back,glutes; hamstrings
Iliotibial Tract-SMR,stretching,isolation,static,intermediate,foam roll,abductors,
Inchworm,stretching,compound,,beginner,body only,hamstrings,
Incline Barbell Triceps Extension,strength,isolation,push,intermediate,barbell,triceps,forearms
Incline Bench Pull,strength,isolation,pull,beginner,barbell,middle back,lats; shoulders
Incline Cable Chest Press,strength,compound,push,beginner,cable,chest,shoulders; triceps
Incline Cable Flye,strength,isolation,push,intermediate,cable,chest,shoulders
Incline Dumbbell Bench With Palms Facing In,strength,compound,push,beginner,dumbbell,chest,shoulders; triceps
Incline Dumbbell Curl,strength,isolation,pull,beginner,dumbbell,biceps,
Incline Dumbbell Flyes,strength,compound,push,beginner,dumbbell,chest,shoulders
Incline Dumbbell Flyes - With A Twist,strength,compound,push,beginner,dumbbell,chest,shoulders
Incline Dumbbell Press,strength,compound,push,beginner,dumbbell,chest,shoulders; triceps
Incline Hammer Curls,strength,isolation,pull,beginner,dumbbell,biceps,
Incline Inner Biceps Curl,strength,isolation,,beginner,dumbbell,biceps,
Incline Push-Up,strength,compound,push,beginner,body only,chest,shoulders; triceps
Incline Push-Up Close-Grip,strength,compound,push,beginner,body only,triceps,chest; shoulders
Incline Push-Up Depth Jump,plyometrics,compound,push,beginner,other,chest,shoulders; triceps
Incline Push-Up Medium,strength,compound,push,beginner,body only,chest,abdominals; shoulders; triceps
Incline Push-Up Reverse Grip,strength,compound,push,beginner,body only,chest,abdominals; shoulders; triceps
Incline Push-Up Wide,strength,compound,push,beginner,body only,chest,abdominals; shoulders; triceps
Intermediate Groin Stretch,stretching,isolation,static,intermediate,other,hamstrings,
Intermediate Hip Flexor and Quad Stretch,stretching,compound,static,intermediate,other,quadriceps,
Internal Rotation with Band,strength,isolation,,beginner,bands,shoulders,
Inverted Row,strength,compound,pull,beginner,,middle back,lats
Inverted Row with Straps,strength,compound,pull,beginner,other,middle back,biceps; lats
Iron Cross,strength,compound,push,intermediate,dumbbell,shoulders,chest; glutes; hamstrings; lower back; quadriceps; traps
Iron Crosses (stretch),stretching,compound,pull,intermediate,,quadriceps,
Isometric Chest Squeezes,plyometrics,compound,static,beginner,body only,chest,shoulders; triceps
Isometric Neck Exercise - Front And Back,strength,isolation,static,beginner,body only,neck,
Isometric Neck Exercise - Sides,strength,isolation,static,beginner,body only,neck,
Isometric Wipers,strength,compound,push,beginner,body only,chest,abdominals; shoulders; triceps
IT Band and Glute Stretch,stretching,,static,intermediate,other,abductors,
Jackknife Sit-Up,strength,compound,pull,beginner,body only,abdominals,
Janda Sit-Up,strength,isolation,pull,beginner,body only,abdominals,
Jefferson Squats,strength,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings; lower back; traps
Jerk Balance,olympic weightlifting,compound,push,intermediate,barbell,shoulders,glutes; hamstrings; quadriceps; triceps
Jerk Dip Squat,olympic weightlifting,compound,push,intermediate,barbell,quadriceps,abdominals; calves
JM Press,strength,compound,push,beginner,barbell,triceps,chest; shoulders
"Jogging, Treadmill",cardio,,,beginner,machine,quadriceps,glutes; hamstrings
Keg Load,strongman,compound,pull,intermediate,other,lower back,abdominals; biceps; calves; forearms; glutes; hamstrings; middle back; quadriceps; shoulders; traps
Kettlebell Arnold Press,strength,compound,push,intermediate,kettlebells,shoulders,triceps
Kettlebell Dead Clean,strength,compound,pull,intermediate,kettlebells,hamstrings,calves; glutes; lower back; quadriceps; traps
Kettlebell Figure 8,strength,,pull,intermediate,kettlebells,abdominals,hamstrings; shoulders
Kettlebell Hang Clean,strength,compound,pull,intermediate,kettlebells,hamstrings,calves; glutes; lower back; shoulders; traps
Kettlebell One-Legged Deadlift,strength,compound,pull,intermediate,kettlebells,hamstrings,glutes; lower back
Kettlebell Pass Between The Legs,strength,compound,pull,intermediate,kettlebells,abdominals,glutes; hamstrings; shoulders
Kettlebell Pirate Ships,strength,compound,push,beginner,kettlebells,shoulders,abdominals
Kettlebell Pistol Squat,strength,compound,push,expert,kettlebells,quadriceps,calves; glutes; hamstrings; shoulders
Kettlebell Seated Press,strength,compound,push,intermediate,kettlebells,shoulders,triceps
Kettlebell Seesaw Press,strength,compound,push,intermediate,kettlebells,shoulders,triceps
Kettlebell Sumo High Pull,strength,compound,pull,intermediate,kettlebells,traps,adductors; glutes; hamstrings; quadriceps; shoulders
Kettlebell Thruster,strength,compound,push,intermediate,kettlebells,shoulders,quadriceps; triceps
Kettlebell Turkish Get-Up (Lunge style),strength,compound,push,intermediate,kettlebells,shoulders,abdominals; hamstrings; quadriceps; triceps
Kettlebell Turkish Get-Up (Squat style),strength,compound,push,intermediate,kettlebells,shoulders,abdominals; calves; hamstrings; quadriceps; triceps
Kettlebell Windmill,strength,compound,pull,intermediate,kettlebells,abdominals,glutes; hamstrings; shoulders; triceps
Kipping Muscle Up,strength,compound,pull,intermediate,other,lats,abdominals; biceps; forearms; middle back; shoulders; traps; triceps
Knee Across The Body,stretching,,static,beginner,,glutes,abductors; lower back
Knee Circles,stretching,compound,pull,beginner,body only,calves,hamstrings; quadriceps
Knee Tuck Jump,plyometrics,compound,push,beginner,body only,hamstrings,abductors; adductors; calves; glutes; quadriceps
Knee/Hip Raise On Parallel Bars,strength,isolation,pull,beginner,other,abdominals,
Kneeling Arm Drill,plyometrics,,pull,beginner,,shoulders,abdominals
Kneeling Cable Crunch With Alternating Oblique Twists,strength,isolation,pull,beginner,cable,abdominals,
Kneeling Cable Triceps Extension,strength,isolation,push,intermediate,cable,triceps,
Kneeling Forearm Stretch,stretching,isolation,static,beginner,,forearms,
Kneeling High Pulley Row,strength,compound,pull,beginner,cable,lats,biceps; middle back
Kneeling Hip Flexor,stretching,isolation,static,beginner,,quadriceps,quadriceps
Kneeling Jump Squat,olympic weightlifting,compound,push,expert,barbell,glutes,calves; hamstrings; quadriceps
Kneeling Single-Arm High Pulley Row,strength,compound,pull,beginner,cable,lats,biceps; middle back
Kneeling Squat,powerlifting,compound,push,intermediate,barbell,glutes,abdominals; hamstrings; lower back
Landmine 180's,strength,compound,pull,beginner,barbell,abdominals,glutes; lower back; shoulders
Landmine Linear Jammer,strength,compound,push,intermediate,barbell,shoulders,abdominals; calves; chest; hamstrings; quadriceps; triceps
Lateral Bound,plyometrics,compound,push,beginner,body only,adductors,abductors; calves; glutes; hamstrings; quadriceps
Lateral Box Jump,plyometrics,compound,push,beginner,other,adductors,abductors; calves; glutes; hamstrings; quadriceps
Lateral Cone Hops,plyometrics,compound,push,beginner,other,adductors,abductors; calves; glutes; hamstrings; quadriceps
Lateral Raise - With Bands,strength,isolation,push,beginner,bands,shoulders,
Latissimus Dorsi-SMR,stretching,isolation,static,beginner,foam roll,lats,
Leg Extensions,strength,isolation,push,beginner,machine,quadriceps,
Leg Lift,strength,isolation,push,beginner,body only,glutes,hamstrings
Leg Press,strength,compound,push,beginner,machine,quadriceps,calves; glutes; hamstrings
Leg Pull-In,strength,compound,pull,beginner,body only,abdominals,
Leg-Over Floor Press,strength,compound,push,intermediate,kettlebells,chest,shoulders; triceps
Leg-Up Hamstring Stretch,stretching,isolation,push,beginner,,hamstrings,
Leverage Chest Press,strength,compound,push,beginner,machine,chest,shoulders; triceps
Leverage Deadlift,strength,compound,pull,beginner,machine,quadriceps,glutes; hamstrings
Leverage Decline Chest Press,strength,compound,push,beginner,machine,chest,shoulders; triceps
Leverage High Row,strength,compound,pull,beginner,machine,middle back,lats
Leverage Incline Chest Press,strength,compound,push,beginner,machine,chest,shoulders; triceps
Leverage Iso Row,strength,compound,pull,beginner,machine,lats,biceps; middle back
Leverage Shoulder Press,strength,compound,push,beginner,machine,shoulders,triceps
Leverage Shrug,strength,isolation,pull,beginner,machine,traps,forearms
Linear 3-Part Start Technique,plyometrics,compound,push,beginner,,hamstrings,calves; quadriceps
Linear Acceleration Wall Drill,plyometrics,compound,,beginner,,hamstrings,calves; glutes; quadriceps
Linear Depth Jump,plyometrics,compound,push,intermediate,other,quadriceps,calves; glutes; hamstrings
Log Lift,strongman,compound,push,intermediate,other,shoulders,abdominals; chest; glutes; hamstrings; lower back; middle back; quadriceps; traps; triceps
London Bridges,strength,compound,pull,intermediate,other,lats,biceps; forearms; middle back
Looking At Ceiling,stretching,isolation,static,beginner,,quadriceps,
Low Cable Crossover,strength,isolation,push,beginner,cable,chest,shoulders
Low Cable Triceps Extension,strength,isolation,push,beginner,cable,triceps,
Low Pulley Row To Neck,strength,compound,pull,beginner,cable,shoulders,biceps; middle back; traps
Lower Back Curl,stretching,,static,beginner,body only,abdominals,
Lower Back-SMR,stretching,,static,beginner,foam roll,lower back,
Lunge Pass Through,strength,compound,push,intermediate,kettlebells,hamstrings,calves; glutes; quadriceps
Lunge Sprint,strength,compound,push,intermediate,machine,quadriceps,calves; glutes; hamstrings
Lying Bent Leg Groin,stretching,,static,expert,other,adductors,
Lying Cable Curl,strength,isolation,pull,intermediate,cable,biceps,
Lying Cambered Barbell Row,strength,isolation,pull,beginner,barbell,middle back,biceps; lats; traps
Lying Close-Grip Bar Curl On High Pulley,strength,isolation,pull,beginner,cable,biceps,
Lying Close-Grip Barbell Triceps Extension Behind The Head,strength,isolation,push,intermediate,barbell,triceps,
Lying Close-Grip Barbell Triceps Press To Chin,strength,isolation,push,intermediate,e-z curl bar,triceps,
Lying Crossover,stretching,,static,expert,body only,abductors,
Lying Dumbbell Tricep Extension,strength,isolation,push,intermediate,dumbbell,triceps,chest; shoulders
Lying Face Down Plate Neck Resistance,strength,isolation,pull,intermediate,other,neck,
Lying Face Up Plate Neck Resistance,strength,isolation,pull,intermediate,other,neck,
Lying Glute,stretching,,static,expert,body only,glutes,abductors
Lying Hamstring,stretching,,static,expert,other,hamstrings,calves
Lying High Bench Barbell Curl,strength,isolation,pull,intermediate,barbell,biceps,
Lying Leg Curls,strength,isolation,pull,beginner,machine,hamstrings,
Lying Machine Squat,strength,compound,push,intermediate,machine,quadriceps,calves; glutes; hamstrings
Lying One-Arm Lateral Raise,strength,isolation,pull,intermediate,dumbbell,shoulders,
Lying Prone Quadriceps,stretching,,,expert,body only,quadriceps,
Lying Rear Delt Raise,strength,isolation,pull,intermediate,dumbbell,shoulders,
Lying Supine Dumbbell Curl,strength,isolation,pull,beginner,dumbbell,biceps,
Lying T-Bar Row,strength,compound,pull,intermediate,machine,middle back,biceps; lats
Lying Triceps Press,strength,isolation,push,intermediate,e-z curl bar,triceps,
Machine Bench Press,strength,compound,push,beginner,machine,chest,shoulders; triceps
Machine Bicep Curl,strength,isolation,pull,beginner,machine,biceps,
Machine Preacher Curls,strength,isolation,pull,beginner,machine,biceps,
Machine Shoulder (Military) Press,strength,compound,push,beginner,machine,shoulders,triceps
Machine Triceps Extension,strength,isolation,push,beginner,machine,triceps,
Medicine Ball Chest Pass,plyometrics,compound,push,beginner,medicine ball,chest,shoulders; triceps
Medicine Ball Full Twist,plyometrics,compound,pull,beginner,medicine ball,abdominals,shoulders
Medicine Ball Scoop Throw,plyometrics,compound,push,beginner,medicine ball,shoulders,abdominals; hamstrings; quadriceps
Middle Back Shrug,strength,isolation,pull,intermediate,dumbbell,middle back,
Middle Back Stretch,stretching,isolation,static,beginner,,middle back,abdominals; lats; lower back
Mixed Grip Chin,strength,compound,pull,expert,other,middle back,biceps; lats
Monster Walk,strength,compound,pull,beginner,bands,abductors,
Mountain Climbers,plyometrics,compound,pull,beginner,,quadriceps,chest; hamstrings; shoulders
Moving Claw Series,plyometrics,compound,,beginner,,hamstrings,calves; quadriceps
Muscle Snatch,olympic weightlifting,compound,pull,intermediate,barbell,hamstrings,glutes; lower back; quadriceps; shoulders; triceps
Muscle Up,strength,compound,pull,intermediate,other,lats,abdominals; biceps; forearms; middle back; shoulders; traps; triceps
Narrow Stance Hack Squats,strength,compound,push,intermediate,machine,quadriceps,calves; glutes; hamstrings
Narrow Stance Leg Press,strength,compound,push,intermediate,machine,quadriceps,calves; glutes; hamstrings
Narrow Stance Squats,strength,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings; lower back
Natural Glute Ham Raise,strength,compound,pull,intermediate,body only,hamstrings,calves; glutes; lower back
Neck Press,strength,compound,push,intermediate,barbell,chest,shoulders; triceps
Neck-SMR,stretching,,static,intermediate,other,neck,
Oblique Crunches,strength,isolation,pull,beginner,body only,abdominals,
Oblique Crunches - On The Floor,strength,isolation,pull,beginner,body only,abdominals,
Olympic Squat,olympic weightlifting,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings
On Your Side Quad Stretch,stretching,isolation,static,beginner,,quadriceps,
On-Your-Back Quad Stretch,stretching,isolation,static,beginner,other,quadriceps,
One Arm Against Wall,stretching,isolation,static,beginner,,lats,
One Arm Chin-Up,strength,compound,pull,expert,other,middle back,biceps; forearms; lats
One Arm Dumbbell Bench Press,strength,compound,push,beginner,dumbbell,chest,shoulders; triceps
One Arm Dumbbell Preacher Curl,strength,isolation,pull,beginner,dumbbell,biceps,
One Arm Floor Press,strength,compound,push,intermediate,barbell,triceps,chest; shoulders
One Arm Lat Pulldown,strength,compound,pull,beginner,cable,lats,biceps; middle back
One Arm Pronated Dumbbell Triceps Extension,strength,isolation,push,beginner,dumbbell,triceps,
One Arm Supinated Dumbbell Triceps Extension,strength,isolation,push,beginner,dumbbell,triceps,
One Half Locust,stretching,,static,beginner,,quadriceps,abdominals; biceps; chest
One Handed Hang,stretching,,static,beginner,other,lats,biceps
One Knee To Chest,stretching,compound,static,beginner,,glutes,hamstrings; lower back
One Leg Barbell Squat,strength,compound,push,expert,barbell,quadriceps,calves; glutes; hamstrings
One-Arm Dumbbell Row,strength,compound,pull,beginner,dumbbell,middle back,biceps; lats; shoulders
One-Arm Flat Bench Dumbbell Flye,strength,isolation,push,beginner,dumbbell,chest,
One-Arm High-Pulley Cable Side Bends,strength,isolation,pull,beginner,cable,abdominals,
One-Arm Incline Lateral Raise,strength,isolation,push,beginner,dumbbell,shoulders,
One-Arm Kettlebell Clean,strength,compound,pull,intermediate,kettlebells,hamstrings,glutes; lower back; shoulders; traps
One-Arm Kettlebell Clean and Jerk,strength,compound,push,intermediate,kettlebells,shoulders,
One-Arm Kettlebell Floor Press,strength,compound,push,intermediate,kettlebells,chest,triceps
One-Arm Kettlebell Jerk,strength,compound,push,intermediate,kettlebells,shoulders,calves; quadriceps; triceps
One-Arm Kettlebell Military Press To The Side,strength,compound,push,intermediate,kettlebells,shoulders,triceps
One-Arm Kettlebell Para Press,strength,compound,push,intermediate,kettlebells,shoulders,triceps
One-Arm Kettlebell Push Press,strength,compound,push,intermediate,kettlebells,shoulders,calves; quadriceps; triceps
One-Arm Kettlebell Row,strength,compound,pull,intermediate,kettlebells,middle back,biceps; lats
One-Arm Kettlebell Snatch,strength,compound,pull,expert,kettlebells,shoulders,calves; glutes; hamstrings; lower back; traps; triceps
One-Arm Kettlebell Split Jerk,strength,compound,push,intermediate,kettlebells,shoulders,glutes; hamstrings; quadriceps; triceps
One-Arm Kettlebell Split Snatch,strength,compound,pull,expert,kettlebells,shoulders,hamstrings; quadriceps
One-Arm Kettlebell Swings,strength,compound,pull,intermediate,kettlebells,hamstrings,calves; glutes; lower back; shoulders
One-Arm Long Bar Row,strength,compound,pull,beginner,barbell,middle back,biceps; lats
One-Arm Medicine Ball Slam,strength,compound,pull,beginner,medicine ball,abdominals,lats; shoulders
One-Arm Open Palm Kettlebell Clean,strength,compound,pull,intermediate,kettlebells,hamstrings,forearms; glutes; lower back; quadriceps; shoulders
One-Arm Overhead Kettlebell Squats,strength,compound,push,expert,kettlebells,quadriceps,calves; glutes; hamstrings; shoulders
One-Arm Side Deadlift,strength,compound,pull,expert,barbell,quadriceps,abdominals; calves; glutes; hamstrings; lower back; traps
One-Arm Side Laterals,strength,isolation,push,beginner,dumbbell,shoulders,
One-Legged Cable Kickback,strength,isolation,push,intermediate,cable,glutes,hamstrings
Open Palm Kettlebell Clean,strength,compound,pull,expert,kettlebells,hamstrings,glutes; lower back; quadriceps; shoulders
Otis-Up,strength,compound,pull,beginner,other,abdominals,chest; shoulders; triceps
Overhead Cable Curl,strength,isolation,pull,intermediate,cable,biceps,
Overhead Lat,stretching,,static,expert,other,lats,triceps
Overhead Slam,plyometrics,compound,pull,beginner,medicine ball,lats,
Overhead Squat,olympic weightlifting,compound,push,expert,barbell,quadriceps,abdominals; calves; glutes; hamstrings; lower back; shoulders; triceps
Overhead Stretch,stretching,compound,static,beginner,,abdominals,chest; forearms; lats; triceps
Overhead Triceps,stretching,,static,expert,body only,triceps,lats
Pallof Press,strength,isolation,pull,beginner,cable,abdominals,chest; shoulders; triceps
Pallof Press With Rotation,strength,compound,pull,beginner,cable,abdominals,chest; shoulders; triceps
Palms-Down Dumbbell Wrist Curl Over A Bench,strength,isolation,pull,beginner,dumbbell,forearms,
Palms-Down Wrist Curl Over A Bench,strength,isolation,pull,beginner,barbell,forearms,
Palms-Up Barbell Wrist Curl Over A Bench,strength,isolation,pull,beginner,barbell,forearms,
Palms-Up Dumbbell Wrist Curl Over A Bench,strength,isolation,pull,beginner,dumbbell,forearms,
Parallel Bar Dip,strength,compound,push,beginner,other,triceps,chest; shoulders
Pelvic Tilt Into Bridge,stretching,compound,static,intermediate,,lower back,
Peroneals Stretch,stretching,,static,intermediate,other,calves,
Peroneals-SMR,stretching,,static,intermediate,foam roll,calves,
Physioball Hip Bridge,strength,compound,push,beginner,exercise ball,glutes,hamstrings
Pin Presses,powerlifting,compound,push,intermediate,barbell,triceps,chest; forearms; lats; middle back; shoulders
Piriformis-SMR,stretching,isolation,static,intermediate,foam roll,glutes,
Plank,strength,isolation,static,beginner,body only,abdominals,
Plate Pinch,strength,isolation,static,intermediate,other,forearms,
Plate Twist,strength,compound,pull,intermediate,other,abdominals,
Platform Hamstring Slides,strength,isolation,pull,beginner,other,hamstrings,glutes
Plie Dumbbell Squat,strength,compound,push,beginner,dumbbell,quadriceps,abdominals; calves; glutes; hamstrings
Plyo Kettlebell Pushups,strength,compound,push,expert,kettlebells,chest,shoulders; triceps
Plyo Push-up,plyometrics,compound,push,beginner,body only,chest,shoulders; triceps
Posterior Tibialis Stretch,stretching,,static,intermediate,other,calves,
Power Clean,strength,compound,pull,intermediate,barbell,hamstrings,calves; forearms; glutes; lower back; middle back; quadriceps; shoulders; traps; triceps
Power Clean from Blocks,olympic weightlifting,compound,pull,intermediate,barbell,hamstrings,quadriceps
Power Jerk,olympic weightlifting,compound,push,expert,barbell,quadriceps,abdominals; calves; glutes; hamstrings; shoulders; triceps
Power Partials,strength,isolation,push,beginner,dumbbell,shoulders,
Power Snatch,olympic weightlifting,compound,pull,expert,barbell,hamstrings,calves; glutes; lower back; quadriceps; shoulders; traps; triceps
Power Snatch from Blocks,olympic weightlifting,compound,pull,intermediate,barbell,quadriceps,calves; forearms; glutes; hamstrings; lower back; shoulders; traps; triceps
Power Stairs,strongman,compound,pull,intermediate,other,hamstrings,adductors; calves; glutes; lower back; quadriceps; shoulders; traps
Preacher Curl,strength,isolation,pull,beginner,barbell,biceps,
Preacher Hammer Dumbbell Curl,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Press Sit-Up,strength,compound,push,expert,barbell,abdominals,chest; shoulders; triceps
Prone Manual Hamstring,strength,isolation,static,beginner,,hamstrings,
Prowler Sprint,cardio,compound,push,beginner,other,hamstrings,calves; chest; glutes; quadriceps; shoulders
Pull Through,strength,compound,pull,beginner,cable,glutes,hamstrings; lower back
Pullups,strength,compound,pull,beginner,body only,lats,biceps; middle back
Push Press,olympic weightlifting,compound,push,expert,barbell,shoulders,quadriceps; triceps
Push Press - Behind the Neck,olympic weightlifting,compound,push,intermediate,barbell,shoulders,calves; quadriceps; triceps
Push Up to Side Plank,strength,compound,push,beginner,body only,chest,abdominals; shoulders; triceps
Push-Up Wide,strength,compound,,beginner,body only,chest,abdominals; shoulders; triceps
Push-Ups - Close Triceps Position,strength,compound,push,intermediate,body only,triceps,chest; shoulders
Push-Ups With Feet Elevated,strength,compound,push,beginner,body only,chest,shoulders; triceps
Push-Ups With Feet On An Exercise Ball,strength,compound,push,intermediate,exercise ball,chest,shoulders; triceps
Pushups,strength,compound,push,beginner,body only,chest,shoulders; triceps
Pushups (Close and Wide Hand Positions),strength,compound,push,beginner,body only,chest,shoulders; triceps
Pyramid,stretching,,static,beginner,exercise ball,lower back,shoulders
Quad Stretch,stretching,,static,intermediate,other,quadriceps,
Quadriceps-SMR,stretching,isolation,static,intermediate,foam roll,quadriceps,
Quick Leap,plyometrics,compound,push,beginner,other,quadriceps,calves; hamstrings
Rack Delivery,olympic weightlifting,compound,pull,intermediate,barbell,shoulders,forearms; traps
Rack Pull with Bands,powerlifting,compound,pull,intermediate,barbell,lower back,forearms; glutes; hamstrings; quadriceps; traps
Rack Pulls,powerlifting,compound,pull,intermediate,barbell,lower back,forearms; glutes; hamstrings; traps
Rear Leg Raises,stretching,,push,beginner,body only,quadriceps,
Recumbent Bike,cardio,,,beginner,machine,quadriceps,calves; glutes; hamstrings
Return Push from Stance,plyometrics,compound,push,beginner,medicine ball,shoulders,chest; triceps
Reverse Band Bench Press,powerlifting,compound,push,intermediate,barbell,triceps,chest; forearms; lats; middle back; shoulders
Reverse Band Box Squat,powerlifting,compound,push,intermediate,barbell,quadriceps,abductors; adductors; calves; forearms; glutes; hamstrings; lower back
Reverse Band Deadlift,powerlifting,compound,pull,expert,barbell,lower back,abductors; adductors; calves; glutes; hamstrings; quadriceps
Reverse Band Power Squat,powerlifting,compound,push,expert,barbell,quadriceps,adductors; calves; glutes; hamstrings; lower back
Reverse Band Sumo Deadlift,powerlifting,compound,pull,expert,barbell,hamstrings,abductors; adductors; calves; forearms; glutes; lower back; quadriceps; traps
Reverse Barbell Curl,strength,isolation,pull,beginner,barbell,biceps,forearms
Reverse Barbell Preacher Curls,strength,isolation,pull,intermediate,e-z curl bar,biceps,forearms
Reverse Cable Curl,strength,isolation,pull,beginner,cable,biceps,forearms
Reverse Crunch,strength,isolation,pull,beginner,body only,abdominals,
Reverse Flyes,strength,isolation,pull,beginner,dumbbell,shoulders,
Reverse Flyes With External Rotation,strength,isolation,pull,intermediate,dumbbell,shoulders,
Reverse Grip Bent-Over Rows,strength,compound,pull,intermediate,barbell,middle back,biceps; lats; shoulders
Reverse Grip Triceps Pushdown,strength,isolation,push,beginner,cable,triceps,
Reverse Hyperextension,strength,,pull,intermediate,machine,hamstrings,calves; glutes
Reverse Machine Flyes,strength,isolation,pull,beginner,machine,shoulders,
Reverse Plate Curls,strength,isolation,pull,beginner,other,biceps,forearms
Reverse Triceps Bench Press,strength,compound,push,intermediate,barbell,triceps,chest; shoulders
Rhomboids-SMR,stretching,,static,intermediate,foam roll,middle back,traps
Rickshaw Carry,strongman,compound,,intermediate,other,forearms,abdominals; calves; glutes; hamstrings; lower back; quadriceps; traps
Rickshaw Deadlift,strongman,compound,pull,intermediate,other,quadriceps,forearms; glutes; hamstrings; lower back; traps
Ring Dips,strength,compound,push,intermediate,other,triceps,chest; shoulders
Rocket Jump,plyometrics,compound,push,beginner,body only,quadriceps,calves; hamstrings
Rocking Standing Calf Raise,strength,isolation,push,beginner,barbell,calves,
Rocky Pull-Ups/Pulldowns,strength,compound,pull,intermediate,other,lats,biceps; middle back; shoulders
Romanian Deadlift,strength,compound,pull,intermediate,barbell,hamstrings,calves; glutes; lower back
Romanian Deadlift from Deficit,olympic weightlifting,compound,pull,intermediate,barbell,hamstrings,forearms; glutes; lower back; traps
Rope Climb,strength,compound,pull,intermediate,other,lats,biceps; forearms; middle back; shoulders
Rope Crunch,strength,isolation,pull,beginner,cable,abdominals,
Rope Jumping,cardio,,,intermediate,other,quadriceps,calves; hamstrings
Rope Straight-Arm Pulldown,strength,isolation,pull,beginner,cable,lats,
Round The World Shoulder Stretch,stretching,,static,beginner,other,shoulders,biceps; chest
"Rowing, Stationary",cardio,,,intermediate,machine,quadriceps,biceps; calves; glutes; hamstrings; lower back; middle back
Runner's Stretch,stretching,,static,beginner,,hamstrings,calves
"Running, Treadmill",cardio,,,beginner,machine,quadriceps,calves; glutes; hamstrings
Russian Twist,strength,compound,pull,intermediate,body only,abdominals,lower back
Sandbag Load,strongman,compound,pull,beginner,other,quadriceps,abdominals; biceps; calves; forearms; glutes; hamstrings; lower back; middle back; shoulders; traps
Scapular Pull-Up,strength,isolation,pull,beginner,,traps,lats; middle back
Scissor Kick,stretching,isolation,pull,beginner,body only,abdominals,
Scissors Jump,plyometrics,compound,push,beginner,body only,quadriceps,glutes; hamstrings
Seated Band Hamstring Curl,strength,isolation,pull,beginner,other,hamstrings,
Seated Barbell Military Press,strength,compound,push,intermediate,barbell,shoulders,triceps
Seated Barbell Twist,strength,isolation,pull,beginner,barbell,abdominals,
Seated Bent-Over One-Arm Dumbbell Triceps Extension,strength,isolation,push,beginner,dumbbell,triceps,
Seated Bent-Over Rear Delt Raise,strength,isolation,pull,intermediate,dumbbell,shoulders,
Seated Bent-Over Two-Arm Dumbbell Triceps Extension,strength,isolation,push,intermediate,dumbbell,triceps,
Seated Biceps,stretching,isolation,static,expert,body only,biceps,chest; shoulders
Seated Cable Rows,strength,compound,pull,beginner,cable,middle back,biceps; lats; shoulders
Seated Cable Shoulder Press,strength,compound,push,beginner,cable,shoulders,triceps
Seated Calf Raise,strength,isolation,push,beginner,machine,calves,
Seated Calf Stretch,stretching,,static,beginner,,calves,hamstrings; lower back
Seated Close-Grip Concentration Barbell Curl,strength,isolation,pull,intermediate,barbell,biceps,
Seated Dumbbell Curl,strength,isolation,pull,beginner,dumbbell,biceps,
Seated Dumbbell Inner Biceps Curl,strength,isolation,pull,beginner,dumbbell,biceps,
Seated Dumbbell Palms-Down Wrist Curl,strength,isolation,pull,beginner,dumbbell,forearms,
Seated Dumbbell Palms-Up Wrist Curl,strength,isolation,pull,beginner,dumbbell,forearms,
Seated Dumbbell Press,strength,compound,push,beginner,dumbbell,shoulders,triceps
Seated Flat Bench Leg Pull-In,strength,compound,pull,beginner,body only,abdominals,
Seated Floor Hamstring Stretch,stretching,,static,beginner,,hamstrings,calves
Seated Front Deltoid,stretching,,static,expert,body only,shoulders,chest
Seated Glute,stretching,,static,expert,body only,glutes,adductors
Seated Good Mornings,powerlifting,compound,pull,intermediate,barbell,lower back,glutes
Seated Hamstring,stretching,,static,expert,,hamstrings,calves
Seated Hamstring and Calf Stretch,stretching,,static,intermediate,other,hamstrings,calves
Seated Head Harness Neck Resistance,strength,isolation,pull,intermediate,other,neck,
Seated Leg Curl,strength,isolation,pull,beginner,machine,hamstrings,
Seated Leg Tucks,strength,isolation,pull,beginner,body only,abdominals,
Seated One-arm Cable Pulley Rows,strength,compound,pull,intermediate,cable,middle back,biceps; lats; traps
Seated One-Arm Dumbbell Palms-Down Wrist Curl,strength,isolation,pull,intermediate,dumbbell,forearms,
Seated One-Arm Dumbbell Palms-Up Wrist Curl,strength,isolation,pull,beginner,dumbbell,forearms,
Seated Overhead Stretch,stretching,isolation,static,beginner,,abdominals,
Seated Palm-Up Barbell Wrist Curl,strength,isolation,pull,beginner,barbell,forearms,
Seated Palms-Down Barbell Wrist Curl,strength,isolation,pull,beginner,barbell,forearms,
Seated Side Lateral Raise,strength,isolation,push,beginner,dumbbell,shoulders,
Seated Triceps Press,strength,isolation,push,beginner,dumbbell,triceps,
